Assembly,Filename,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50.x,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,Source Host,Source Context,Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Bases.Average.Length.Status.,Sequencing Platform(s),Barcode,Source Details,Collection.Year,Collection.Month,Collection.Day,Continent,Country,Region,District,City,Latitude,Longitude,Serovar,Subspecies,Antigenic.Formulas,Lab.Contact,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Status,Coverage,N50.y,Length,Species,Contig.Number...200.bp.,Low.Quality.Bases,Version
SAL_AB2328AA_AS,SAL_AB2328AA_AS.result,87,59,50,48,37,25,4944888,4934520,4915664,4904400,4721107,4266903,65,486175,4938490,4809037,52.12,52.09,174647,174647,90831,100690,9,9,18,17,71,25,4203434,126,1,1,2,17 + 35 part,700771,88.041,1.001,0.61,1305.61,26.17,147997,4236799,57243,57948,24652,31718,30,29,60,56,Poultry,Animal,SAL_PA1058AA,FSIS11808860,SRR6977377;ILLUMINA;Paired;300;SRX3918923;;,ILLUMINA;;,SAL_PA1058AA,comminuted chicken,2018,NA,NA,North America,United States,New York,,New York,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08886771,SRS3153951,2018-04-12,2018-04-10,Assembled,145,174647,4944888,Salmonella enterica;93.24%,83,57150,4
SAL_AB2775AA_AS,SAL_AB2775AA_AS.result,70,47,37,32,27,22,4904992,4893291,4873848,4842050,4753783,4561549,61,622526,4902266,4809037,52.17,52.09,376793,376793,139247,139247,5,5,12,12,79,20,4278272,128,0,5,1,17 + 35 part,663704,87.98,1.002,3.86,1306.46,26.68,196286,4237528,57212,57947,26568,30996,27,26,56,53,Human,Animal,SAL_PA1572AA,13671,traces-0IpYiFG;ILLUMINA;Paired;;NA;;,ILLUMINA;;,SAL_PA1572AA,stool,2009,NA,NA,North America,United States,Oregon,,,,,Typhimurium,,,"Craig Parker, USDA ARS",,,,,2018-04-13,2018-10-16,Assembled,57,376793,4904992,Salmonella enterica;98.27%,69,21200,4
SAL_AB2789AA_AS,SAL_AB2789AA_AS.result,233,186,134,114,79,33,4961248,4933787,4807205,4653925,4042008,2476366,212,144579,4953352,4809037,52.21,52.09,49664,51384,26968,28434,34,32,67,63,59,39,2059959,113,0,1,5,45 + 72 part,737006,87.406,1.003,2.2,1303.23,25.38,89747,4207978,28562,29652,13283,14887,51,49,111,103,Bovine,Animal,SAL_PA1556AA,OH-17-27008,SRR6996264;ILLUMINA;Paired;500;SRX3930948;;,ILLUMINA;;,SAL_PA1556AA,feces; bos taurus,2017,NA,NA,North America,United States,Ohio,,,,,Typhimurium,I,,FDA Center for Food Safety and Applied Nutrition,PRJNA338674,SRP083283,SAMN08744597,SRS3164276,2018-04-13,2018-04-12,Assembled,119,49664,4961248,Salmonella enterica;99.11%,233,80468,4
SAL_AB2822AA_AS,SAL_AB2822AA_AS.result,119,82,73,67,47,26,4909650,4895790,4874623,4826994,4460778,3685370,91,282685,4901444,4809037,52.09,52.09,114472,114472,74687,77767,13,13,26,25,67,38,3863016,133,1,0,0,15 + 44 part,650631,88.235,1.002,0.8,1312.72,25.99,196301,4246620,48833,50023,18787,20072,31,30,70,66,Poultry,Product,SAL_PA1611AA,FSIS21821422,SRR6998649;ILLUMINA;Paired;300;SRX3933080;;,ILLUMINA;;,SAL_PA1611AA,raw intact chicken,2018,NA,NA,North America,United States,North Carolina,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08929376,SRS3166003,2018-04-14,2018-04-13,Assembled,122,114472,4909650,Salmonella enterica;100.0%,114,69559,4
SAL_AB2828AA_AS,SAL_AB2828AA_AS.result,166,129,110,100,71,26,4929893,4913782,4871822,4796485,4269044,2648315,140,214227,4921570,4809037,52.19,52.09,61025,61258,32878,33496,23,22,52,49,57,39,2855912,116,1,0,4,15 + 66 part,688836,87.75,1.003,0.41,1302.37,25.59,122564,4226130,32178,34714,16754,18212,45,43,95,90,Poultry,Product,SAL_PA1605AA,FSIS21821417,SRR6998684;ILLUMINA;Paired;300;SRX3933108;;,ILLUMINA;;,SAL_PA1605AA,raw intact chicken,2018,NA,NA,North America,United States,Georgia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08929371,SRS3166025,2018-04-14,2018-04-13,Assembled,87,61025,4929893,Salmonella enterica;98.71%,163,64846,4
SAL_AB2831AA_AS,SAL_AB2831AA_AS.result,96,57,40,36,34,22,4954932,4940599,4891193,4867252,4834042,4371414,65,606703,4945766,4809037,52.12,52.09,218927,238957,144166,144166,8,7,14,14,74,24,4361537,128,0,1,1,19 + 32 part,708491,88.002,1.001,0.55,1305.42,26.32,148097,4236333,57211,57948,26261,30602,28,27,58,55,Poultry,Product,SAL_PA1602AA,FSIS21821425,SRR6998690;ILLUMINA;Paired;300;SRX3933113;;,ILLUMINA;;,SAL_PA1602AA,raw intact chicken,2018,NA,NA,North America,United States,Arkansas,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08929379,SRS3166028,2018-04-14,2018-04-13,Assembled,156,218927,4954932,Salmonella enterica;100.0%,91,29266,4
SAL_AB2837AA_AS,SAL_AB2837AA_AS.result,127,90,78,73,50,29,4928899,4913392,4880858,4845417,4432653,3678325,101,289863,4920790,4809037,52.15,52.09,112511,112511,47862,56319,13,13,30,28,67,32,3517294,127,0,0,3,20 + 47 part,686381,87.907,1.002,0.77,1303.23,26.09,148009,4231649,48159,48290,19444,21021,35,34,74,70,Poultry,Product,SAL_PA1596AA,FSIS21821437,SRR6998700;ILLUMINA;Paired;300;SRX3933121;;,ILLUMINA;;,SAL_PA1596AA,raw intact chicken,2018,NA,NA,North America,United States,West Virginia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08929386,SRS3166036,2018-04-14,2018-04-13,Assembled,95,112511,4928899,Salmonella enterica;96.55%,124,64357,4
SAL_AB3033AA_AS,SAL_AB3033AA_AS.result,72,41,33,30,27,22,4907104,4894538,4881878,4858558,4794542,4607002,50,638416,4900827,4809037,52.15,52.09,291498,291498,159897,159897,7,7,12,12,81,22,4398774,127,0,0,2,5 + 31 part,650547,88.198,1.002,2.43,1309.97,25.84,133943,4248228,57212,57948,26574,29538,28,27,56,54,Poultry,Animal,SAL_PA1806AA,FSIS31800323,SRR7007609;ILLUMINA;Paired;300;SRX3940182;;,ILLUMINA;;,SAL_PA1806AA,chicken carcass,2018,NA,NA,North America,United States,Iowa,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08934989,SRS3171038,2018-04-16,2018-04-16,Assembled,75,291498,4907104,Salmonella enterica;100.0%,69,15771,4
SAL_AB3034AA_AS,SAL_AB3034AA_AS.result,72,42,33,29,27,25,5014725,5002025,4982406,4949423,4904289,4834292,51,638416,5008002,4809037,52.11,52.09,280699,280699,151625,159896,7,7,13,12,80,22,4423358,128,0,1,1,6 + 30 part,757985,88.184,1.002,2.4,1311.45,25.87,133935,4248705,56913,57948,21887,30893,29,27,59,53,Poultry,Animal,SAL_PA1805AA,FSIS31800324,SRR7007610;ILLUMINA;Paired;300;SRX3940183;;,ILLUMINA;;,SAL_PA1805AA,chicken carcass,2018,NA,NA,North America,United States,Alabama,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08934990,SRS3171039,2018-04-16,2018-04-16,Assembled,86,280699,5014725,Salmonella enterica;98.51%,69,18418,4
SAL_AB3595AA_AS,SAL_AB3595AA_AS.result,104,79,69,66,49,29,4844096,4834670,4806921,4777881,4491403,3768326,84,436119,4837909,4809037,52.17,52.09,88720,88720,61049,61049,11,11,27,27,68,33,3749582,122,1,0,2,10 + 43 part,607966,87.826,1.002,0.21,1302.54,25.81,196297,4226897,47592,47592,20744,21903,33,33,70,69,Poultry,Product,SAL_PA2142AA,FSIS11808965,SRR7030847;ILLUMINA;Paired;300;SRX3963015;;,ILLUMINA;;,SAL_PA2142AA,raw intact chicken,2018,NA,NA,North America,United States,Georgia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08950952,SRS3192996,2018-04-19,2018-04-18,Assembled,97,88720,4844096,Salmonella enterica;100.0%,101,139523,4
SAL_AB3754AA_AS,SAL_AB3754AA_AS.result,133,86,70,64,51,36,4954113,4936695,4898289,4855968,4637427,4136145,95,417326,4943295,4809037,52.12,52.09,96465,100161,67280,72022,15,14,29,28,67,34,3696013,123,0,4,3,13 + 49 part,714866,87.735,1.002,3.01,1309.6,26.47,123780,4225272,47965,48159,17930,19835,32,31,71,66,Human,Animal,SAL_PA2487AA,PSU-0513,SRR7047483;ILLUMINA;Paired;500;SRX3979388;;,ILLUMINA;;,SAL_PA2487AA,biological fluid and/or tissue,2009,NA,NA,North America,United States,Pennsylvania,,,,,Typhimurium Var. 5-,I,,FDA Center for Food Safety and Applied Nutrition,PRJNA357723,SRP106794,SAMN08800195,SRS3204576,2018-04-21,2018-04-20,Assembled,48,96465,4954113,Salmonella enterica;100.0%,126,27281,4
SAL_AB4039AA_AS,SAL_AB4039AA_AS.result,109,85,70,64,48,30,5086469,5077068,5042863,4997801,4712396,4065340,90,322153,5080794,4809037,52,52.09,137740,149655,73012,75430,13,12,26,24,67,30,3773744,124,1,1,3,20 + 42 part,856863,87.609,1.003,1.38,1306.62,25.97,127791,4218152,50005,51008,16557,22032,33,31,74,63,Swine,Animal,SAL_PA2556AA,FSIS11808497,SRR7049961;ILLUMINA;Paired;300;SRX3981409;;,ILLUMINA;;,SAL_PA2556AA,swine-sow,2018,NA,NA,North America,United States,Tennessee,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA292666,SRP062916,SAMN08963820,SRS3206248,2018-04-22,2018-04-20,Assembled,79,137740,5086469,Salmonella enterica;93.0%,106,58038,4
SAL_AB4075AA_AS,SAL_AB4075AA_AS.result,109,63,53,50,43,34,5030880,5007789,4987346,4965298,4828928,4487362,87,361736,5023623,4809037,52.12,52.09,162633,163650,79809,81878,11,10,23,21,73,29,3964150,123,0,1,3,28 + 43 part,784093,87.996,1.002,4.36,1305.22,26.44,128509,4238032,51129,56852,18747,26252,31,29,67,59,Swine,Animal,SAL_PA2521AA,FSIS11808912,SRR7050925;ILLUMINA;Paired;300;SRX3981964;;,ILLUMINA;;,SAL_PA2521AA,market swine,2018,NA,NA,North America,United States,California,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA292666,SRP062916,SAMN08965092,SRS3206790,2018-04-22,2018-04-20,Assembled,138,162633,5030880,Salmonella enterica;89.02%,107,42321,4
SAL_AB4146AA_AS,SAL_AB4146AA_AS.result,77,52,43,40,35,31,4941907,4932808,4913394,4890059,4796830,4667261,59,379103,4937127,4809037,52.17,52.09,171113,177331,91938,96246,9,8,19,18,77,26,4185849,131,0,0,2,10 + 39 part,687498,88.224,1.002,4.21,1312.64,26.42,196296,4248292,57212,57947,19361,26261,28,27,60,55,Swine,Animal,SAL_PA2942AA,FSIS11809223,SRR7051556;ILLUMINA;Paired;300;SRX3982593;;,ILLUMINA;;,SAL_PA2942AA,market swine,2018,NA,NA,North America,United States,California,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA292666,SRP062916,SAMN08967102,SRS3207423,2018-04-24,2018-04-21,Assembled,102,171113,4941907,Salmonella enterica;100.0%,72,35086,4
SAL_AB4247AA_AS,SAL_AB4247AA_AS.result,85,59,52,47,39,25,4935521,4925437,4908844,4867218,4718969,4153652,64,693537,4929015,4809037,52.05,52.09,160413,160413,81176,95186,8,8,19,17,68,28,3999173,129,1,1,0,9 + 40 part,693590,87.919,1.002,2.64,1303.36,26.37,196278,4233158,52903,55828,24652,30999,30,29,62,58,Poultry,Animal,SAL_PA3310AA,FSIS31800349,SRR7058969;ILLUMINA;Paired;300;SRX3989928;;,ILLUMINA;;,SAL_PA3310AA,comminuted chicken,2018,NA,NA,North America,United States,Massachusetts,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08974765,SRS3214389,2018-04-26,2018-04-24,Assembled,80,160413,4935521,Salmonella enterica;98.71%,81,37568,4
SAL_AB4973AA_AS,SAL_AB4973AA_AS.result,76,52,42,40,34,23,4897123,4888268,4864921,4851723,4745410,4323459,58,445742,4891994,4809037,52.11,52.09,282799,282799,97551,97551,7,7,14,14,74,24,4269674,126,0,0,2,14 + 33 part,653691,88.049,1.001,0,1304.21,26.24,196301,4237873,57442,57948,30996,32053,28,27,57,55,Poultry,Animal,SAL_PA3637AA,FSIS11809126,SRR7075041;ILLUMINA;Paired;300;SRX4004811;;,ILLUMINA;;,SAL_PA3637AA,chicken carcass,2018,NA,NA,North America,United States,New Jersey,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08995959,SRS3226750,2018-04-28,2018-04-27,Assembled,70,282799,4897123,Salmonella enterica;100.0%,72,22599,4
SAL_AB4974AA_AS,SAL_AB4974AA_AS.result,79,51,39,33,30,22,4938235,4926539,4902033,4853042,4813564,4532843,58,491736,4931765,4809037,52.14,52.09,282799,306878,142232,149904,7,6,13,12,75,21,4429527,130,0,2,1,16 + 28 part,692877,88.035,1.001,0.81,1305.9,26.31,196284,4238269,58646,61467,26261,30953,26,25,56,53,Poultry,Animal,SAL_PA3636AA,FSIS11809125,SRR7075042;ILLUMINA;Paired;300;SRX4004812;;,ILLUMINA;;,SAL_PA3636AA,chicken carcass,2018,NA,NA,North America,United States,North Carolina,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08995958,SRS3226748,2018-04-28,2018-04-27,Assembled,62,282799,4938235,Salmonella enterica;100.0%,77,26620,4
SAL_AB4979AA_AS,SAL_AB4979AA_AS.result,94,63,55,53,39,30,4770992,4759003,4742428,4723327,4446351,4109864,71,414752,4764241,4809037,52.22,52.09,143286,143286,77721,77721,11,11,22,22,72,29,3880299,123,0,0,1,9 + 41 part,510077,88.284,1.002,6.32,1315.4,26.47,196296,4251660,51129,51129,22560,21887,29,29,61,62,Bovine,Product,SAL_PA3631AA,FSIS11809098,SRR7075047;ILLUMINA;Paired;300;SRX4004817;;,ILLUMINA;;,SAL_PA3631AA,comminuted beef,2018,NA,NA,North America,United States,Nebraska,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN08995947,SRS3226754,2018-04-28,2018-04-27,Assembled,62,143286,4770992,Salmonella enterica;100.0%,89,35822,4
SAL_AB5983AA_AS,SAL_AB5983AA_AS.result,81,51,39,33,26,21,4877540,4865361,4845177,4805213,4675999,4481298,60,570552,4871419,4809037,52.19,52.09,276406,276406,149893,149893,6,6,13,13,85,24,4359060,126,1,1,3,13 + 30 part,628229,87.999,1.003,2.67,1308.8,26.37,128510,4241231,68068,68068,26564,26911,27,27,55,54,Poultry,Product,SAL_PA4548AA,FSIS11809460,SRR7095745;ILLUMINA;Paired;300;SRX4024156;;,ILLUMINA;;,SAL_PA4548AA,raw intact chicken,2018,NA,NA,North America,United States,Texas,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN09013431,SRS3244564,2018-05-03,2018-05-03,Assembled,101,276406,4877540,Salmonella enterica;100.0%,77,20333,4
SAL_AB5987AA_AS,SAL_AB5987AA_AS.result,76,47,36,34,27,19,4940826,4928075,4900603,4888769,4774374,4482875,56,706453,4934533,4809037,52.12,52.09,282799,313490,149899,195347,6,5,11,10,77,19,4390246,130,0,0,1,19 + 23 part,695681,88.038,1.001,2.23,1306.06,26.41,196306,4236415,60303,65301,26911,31718,27,25,55,52,Poultry,Animal,SAL_PA4544AA,FSIS11809459,SRR7095751;ILLUMINA;Paired;300;SRX4024162;;,ILLUMINA;;,SAL_PA4544AA,chicken carcass,2018,NA,NA,North America,United States,Virginia,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN09013430,SRS3244570,2018-05-03,2018-05-03,Assembled,78,282799,4940826,Salmonella enterica;92.75%,74,22894,4
SAL_AB6310AA_AS,SAL_AB6310AA_AS.result,84,62,53,49,42,28,4846910,4837737,4816256,4784906,4646904,4112639,68,666595,4841555,4809037,52.15,52.09,162635,162635,80917,80917,10,10,20,20,74,27,3816979,126,0,0,1,11 + 40 part,603215,87.978,1.002,4.48,1304.13,26.14,147994,4236463,52258,52258,22713,24653,30,30,63,62,Poultry,Animal,SAL_PA5059AA,FSIS31800383,SRR7119879;ILLUMINA;Paired;500;SRX4041525;;,ILLUMINA;;,SAL_PA5059AA,chicken carcass,2018,NA,NA,North America,United States,Pennsylvania,,,,,Typhimurium,I,,"United States Department of Agriculture, Food Safety and Inspection Service",PRJNA242847,SRP040648,SAMN09068395,SRS3259006,2018-05-08,2018-05-04,Assembled,171,162635,4846910,Salmonella enterica;97.22%,84,52460,4
