Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_BA1976AA	NY-N14668	SRR2102389;ILLUMINA;Paired;500;SRX1096992;639591900;237	SAL_BA1976AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276112	SRS992285	2015-08-27	2015-07-14	Assembled	125	192467	5129699	Salmonella enterica;96.51%	90	4287	2.2	SAL_IA5713AA_AS
SAL_BA3016AA	NY-N14606	SRR2070990;ILLUMINA;Paired;500;SRX1066158;515133192;249	SAL_BA3016AA	Poultry	Avian	chicken breast	2007				North America	United States	California						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276090	SRS966105	2015-08-27	2015-06-24	Assembled	108	257882	4783660	Salmonella enterica;100.0%	51	5440	2.2	SAL_IA5941AA_AS
SAL_BA3237AA	NY_BAC0500001378	SRR988697;ILLUMINA;Paired;300;SRX352481;857999006;239	SAL_BA3237AA	Poultry	Avian	CHICKEN BREAST	2005	2			North America	United States	New York	Rensselaer County	Unresolved				Typhimurium	I			CLC BIO			PRJNA186035	SRP018785	SAMN01902246	SRS454835	2015-08-27	2013-09-18	Assembled	169	376818	5086003	Salmonella enterica;96.72%	65	2662	2.2	SAL_IA5957AA_AS
SAL_BA3455AA	NY-N14218	SRR2054611;ILLUMINA;Paired;500;SRX1052027;291683500;250	SAL_BA3455AA	Poultry	Avian	chicken breast	2007				North America	United States	New Mexico						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276067	SRS956137	2015-08-27	2015-06-07	Assembled	60	219485	4922268	Salmonella enterica;100.0%	76	19233	2.2	SAL_IA5971AA_AS
SAL_BA4744AA	NY-N13665	SRR2017883;ILLUMINA;Paired;500;SRX1024616;473265406;181	SAL_BA4744AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276040	SRS934024	2015-08-27	2015-05-13	Assembled	93.5	257869	5061925	Salmonella enterica;97.23%	84	2380	2.2	SAL_BA5824AA_AS
SAL_BA4789AA	NY-N13663	SRR2017857;ILLUMINA;Paired;500;SRX1024592;382690536;186	SAL_BA4789AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276038	SRS933991	2015-08-27	2015-05-13	Assembled	76	282892	5090930	Salmonella enterica;95.52%	73	2010	2.2	SAL_IA6164AA_AS
SAL_BA4802AA	NY-N13671	SRR2017850;ILLUMINA;Paired;500;SRX1024585;522084960;170	SAL_BA4802AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276046	SRS933989	2015-08-27	2015-05-13	Assembled	104	280110	5052793	Salmonella enterica;100.0%	72	2112	2.2	SAL_IA6165AA_AS
SAL_BA4879AA	NY-N13662	SRR2015825;ILLUMINA;Paired;500;SRX1022970;639796674;219	SAL_BA4879AA	Poultry	Avian	chicken breast	2007				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276037	SRS932746	2015-08-27	2015-05-11	Assembled	124	282892	5165591	Salmonella enterica;97.58%	90	2793	2.2	SAL_IA6174AA_AS
SAL_BA5459AA	WAPHL_SAL-A00739	SRR2005915;ILLUMINA;Paired;500;SRX1015997;472903778;229	SAL_BA5459AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291568	SRS927378	2015-08-27	2015-05-02	Assembled	95.86	109293	4933438	Salmonella enterica;99.01%	105	9058	2.2	SAL_BA4147AA_AS
SAL_BA6435AA	WAPHL_SAL-A00740	SRR1982132;ILLUMINA;Paired;500;SRX1001019;187670548;221	SAL_BA6435AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291569	SRS914988	2015-08-27	2015-04-20	Assembled	37	94937	5074194	Salmonella enterica;97.22%	151	25010	2.2	SAL_IA4910AA_AS
SAL_BA6536AA	NY-N13199	SRR1980733;ILLUMINA;Paired;500;SRX999659;314714428;161	SAL_BA6536AA	Poultry	Avian	chicken breast	2007				North America	United States	New Mexico						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03276017	SRS913676	2015-08-27	2015-04-19	Assembled	63.92	271381	4923905	Salmonella enterica;100.0%	73	2716	2.2	SAL_BA5831AA_AS
SAL_BA6571AA	WAPHL_SAL-A00741	SRR1980608;ILLUMINA;Paired;500;SRX999534;450642504;233	SAL_BA6571AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291570	SRS913560	2015-08-27	2015-04-18	Assembled	88	222339	5133849	Salmonella enterica;97.18%	78	4599	2.2	SAL_IA4911AA_AS
SAL_BA6862AA	WAPHL_SAL-A00735	SRR1973989;ILLUMINA;Paired;500;SRX995332;420309396;234	SAL_BA6862AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291564	SRS909686	2015-08-27	2015-04-14	Assembled	83	86533	5106898	Salmonella enterica;99.26%	140	13210	2.2	SAL_IA4913AA_AS
SAL_BA6957AA	WAPHL_SAL-A00727	SRR1973885;ILLUMINA;Paired;500;SRX995221;546480792;234	SAL_BA6957AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291556	SRS909586	2015-08-27	2015-04-14	Assembled	107	110806	5150297	Salmonella enterica;84.35%	132	5471	2.2	SAL_IA4915AA_AS
SAL_BA8741AA	NY_BAC0800003059	SRR949451;ILLUMINA;Paired;500;SRX332929;400604000;200,SRR949452;ILLUMINA;Paired;500;SRX332930;641609920;238	SAL_BA8741AA	Poultry	Avian	CHICKEN BREAST	2008	6			North America	United States	New York	Albany County	Albany		42.7	-73.7	Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902310	SRS468358	2015-08-27	2013-08-08	Assembled	79.74	331668	5023769	Salmonella enterica;98.41%	70	1701	2.2	SAL_IA7803AA_AS
SAL_BA8747AA	NY_BAC0800002014	SRR949447;ILLUMINA;Paired;500;SRX332925;608012416;242	SAL_BA8747AA	Poultry	Avian	CHICKEN BREAST	2008	4			North America	United States	New York	Albany County	Albany		42.7	-73.7	Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902307	SRS468355	2015-08-27	2013-08-08	Assembled	123	376696	4953372	Salmonella enterica;100.0%	44	2309	2.2	SAL_IA7808AA_AS
SAL_BA8757AA	NY_BAC0800000352	SRR949442;ILLUMINA;Paired;500;SRX332920;241785588;242	SAL_BA8757AA	Poultry	Avian	Chicken Breast	2008	1			North America	United States	New York	Rensselaer County	Unresolved				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902301	SRS468350	2015-08-27	2013-08-08	Assembled	48	229083	5124332	Salmonella enterica;94.17%	111	20295	2.2	SAL_IA7814AA_AS
SAL_BA8761AA	NY_BAC0700007534	SRR949440;ILLUMINA;Paired;500;SRX332918;496855806;237	SAL_BA8761AA	Poultry	Avian	CHICKEN BREAST	2007	10			North America	United States	New York	Albany County	Albany		42.7	-73.7	Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902299	SRS468347	2015-08-27	2013-08-08	Assembled	98	222296	5097963	Salmonella enterica;100.0%	65	4408	2.2	SAL_IA7816AA_AS
SAL_BA8778AA	NY_BAC0700003838	SRR949431;ILLUMINA;Paired;500;SRX332909;264032852;241	SAL_BA8778AA	Poultry	Avian	CHICKEN BREAST	2007	5			North America	United States	New York	Albany County	Albany		42.7	-73.7	Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902290	SRS468338	2015-08-27	2013-08-08	Assembled	53	238836	5055315	Salmonella enterica;100.0%	60	8591	2.2	SAL_IA7821AA_AS
SAL_BA8782AA	NY_BAC0700002764	SRR949428;ILLUMINA;Paired;500;SRX332907;515716470;243	SAL_BA8782AA	Poultry	Avian	Chicken Breast	2007	3			North America	United States	New York	Rensselaer County	Unresolved				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902288	SRS468339	2015-08-27	2013-08-08	Assembled	104	282891	4962882	Salmonella enterica;96.15%	55	4619	2.2	SAL_IA7822AA_AS
SAL_BA8797AA	NY_BAC0600010656	SRR949421;ILLUMINA;Paired;500;SRX332900;583658620;241	SAL_BA8797AA	Poultry	Avian	CHICKEN BREAST	2006	12			North America	United States	New York	Albany County	Albany		42.7	-73.7	Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902281	SRS468330	2015-08-27	2013-08-08	Assembled	114.46	292119	5099071	Salmonella enterica;100.0%	71	4346	2.2	SAL_IA7824AA_AS
SAL_BA8824AA	NY_BAC0600002501	SRR949408;ILLUMINA;Paired;500;SRX332887;707900256;216	SAL_BA8824AA	Poultry	Avian	Chicken Breast	2006	3			North America	United States	New York	Rensselaer County	Unresolved				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902268	SRS468317	2015-08-27	2013-08-08	Assembled	143	209701	4962104	Salmonella enterica;100.0%	79	3349	2.2	SAL_IA7830AA_AS
SAL_BA8849AA	NY_BAC0500005167	SRR949396;ILLUMINA;Paired;500;SRX332875;761571552;232	SAL_BA8849AA	Poultry	Avian	CHICKEN BREAST	2005	7			North America	United States	New York	Rensselaer County	Rensselaer				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN01902255	SRS468305	2015-08-27	2013-08-08	Assembled	150	221533	5089915	Salmonella enterica;98.58%	75	3771	2.2	SAL_IA7839AA_AS
SAL_CA7064AA	NY-N13115	SRR1947002;ILLUMINA;Paired;500;SRX973625;307721628;191	SAL_CA7064AA	Poultry	Avian	chicken breast	2007				North America	United States	Minnesota						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN03275973	SRS888861	2015-08-27	2015-03-30	Assembled	62	182671	5026161	Salmonella enterica;100.0%	92	3702	2.2	SAL_JA5031AA_AS
SAL_CA7190AA	WAPHL_SAL-A00722	SRR1923646;ILLUMINA;Paired;500;SRX963738;395364186;233	SAL_CA7190AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291551	SRS879129	2015-08-27	2015-03-21	Assembled	80	115944	4967049	Salmonella enterica;100.0%	107	10914	2.2	SAL_IA4920AA_AS
SAL_CA7194AA	WAPHL_SAL-A00719	SRR1923642;ILLUMINA;Paired;500;SRX963734;390269792;239	SAL_CA7194AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291548	SRS879133	2015-08-27	2015-03-21	Assembled	77	187771	5099339	Salmonella enterica;98.92%	107	11306	2.2	SAL_IA4921AA_AS
SAL_CA7196AA	WAPHL_SAL-A00715	SRR1923640;ILLUMINA;Paired;500;SRX963732;578175536;229	SAL_CA7196AA	Poultry	Avian	chicken breast	2006				North America	United States	Maryland						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291544	SRS879135	2015-08-27	2015-03-21	Assembled	117	238838	4944381	Salmonella enterica;98.73%	82	4360	2.2	SAL_IA4923AA_AS
SAL_CA7397AA	AZ-TG74952	SRR1914408;ILLUMINA;Paired;500;SRX955793;263905122;241	SAL_CA7397AA	Poultry	Avian	Chicken Breast	2005				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN02894195	SRS873588	2015-08-27	2015-03-13	Assembled	52	276677	5092653	Salmonella enterica;98.48%	76	8851	2.2	SAL_JA5038AA_AS
SAL_CA7398AA	AZ-TG74908	SRR1914407;ILLUMINA;Paired;500;SRX955792;332531694;239	SAL_CA7398AA	Poultry	Avian	Chicken Breast	2005				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN02894193	SRS873589	2015-08-27	2015-03-13	Assembled	66	283856	5095003	Salmonella enterica;98.62%	78	6272	2.2	SAL_JA5039AA_AS
SAL_CA7399AA	AZ-TG74900	SRR1914406;ILLUMINA;Paired;500;SRX955791;314005300;238	SAL_CA7399AA	Poultry	Avian	Chicken Breast	2005				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN02894191	SRS873590	2015-08-27	2015-03-13	Assembled	62	376818	5093222	Salmonella enterica;98.65%	78	7799	2.2	SAL_JA5040AA_AS
SAL_CA7401AA	AZ-TG74916	SRR1914404;ILLUMINA;Paired;500;SRX955789;308699310;241	SAL_CA7401AA	Poultry	Avian	Chicken Breast	2005				North America	United States	New York		New York				Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN02894182	SRS873592	2015-08-27	2015-03-13	Assembled	63	278933	4931218	Salmonella enterica;100.0%	56	5630	2.2	SAL_JA5041AA_AS
SAL_CA7403AA	AZ-TG74924	SRR1914398;ILLUMINA;Paired;500;SRX955781;245808432;241	SAL_CA7403AA	Poultry	Avian	Chicken Breast	2005				North America	United States	New York		New York				Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN02894194	SRS873577	2015-08-27	2015-03-13	Assembled	48	285998	5136711	Salmonella enterica;94.6%	81	8460	2.2	SAL_JA5042AA_AS
SAL_CA7586AA	FL-NRM268	SRR1823709;ILLUMINA;Paired;500;SRX895253;436544128;218	SAL_CA7586AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269520	SRS901598	2015-08-27	2015-04-10	Assembled	86	210722	5085790	Salmonella enterica;97.5%	91	5631	2.2	SAL_JA4368AA_AS
SAL_CA7612AA	FL-NRM266	SRR1823670;ILLUMINA;Paired;500;SRX895217;276126500;230	SAL_CA7612AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269523	SRS901599	2015-08-27	2015-04-10	Assembled	55	108413	5093662	Salmonella enterica;99.27%	115	15385	2.2	SAL_JA5043AA_AS
SAL_CA7621AA	WAPHL_SAL-A00701	SRR1822313;ILLUMINA;Paired;500;SRX893841;370652810;235	SAL_CA7621AA	Poultry	Avian	chicken breast	2006				North America	United States	Georgia						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183851	SRP028334	SAMN03291530	SRS859965	2015-08-27	2015-03-01	Assembled	73	92660	5097894	Salmonella enterica;78.13%	137	7885	2.2	SAL_JA4385AA_AS
SAL_CA7754AA	NY-N146	SRR1813446;ILLUMINA;Paired;500;SRX885853;459495504;243	SAL_CA7754AA	Poultry	Avian	Chicken Breast	2004				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN02777827	SRS852773	2015-08-27	2015-02-23	Assembled	96	332632	4834285	Salmonella enterica;100.0%	54	3450	2.2	SAL_JA5046AA_AS
SAL_CA7803AA	FL-NRM258	SRR1812867;ILLUMINA;Paired;500;SRX885399;490938972;197	SAL_CA7803AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269519	SRS901600	2015-08-27	2015-04-10	Assembled	100	108413	4946715	Salmonella enterica;98.02%	109	5430	2.2	SAL_JA5053AA_AS
SAL_CA7810AA	FL-NRM255	SRR1812859;ILLUMINA;Paired;500;SRX885391;404648832;203	SAL_CA7810AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269516	SRS901601	2015-08-27	2015-04-10	Assembled	82	120441	4982366	Salmonella enterica;100.0%	121	8235	2.2	SAL_JA5054AA_AS
SAL_CA7817AA	FL-NRM257	SRR1812851;ILLUMINA;Paired;500;SRX885383;260003904;228	SAL_CA7817AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269518	SRS901602	2015-08-27	2015-04-10	Assembled	52	227570	5068071	Salmonella enterica;97.91%	96	10608	2.2	SAL_JA5055AA_AS
SAL_CA7825AA	FL-NRM254	SRR1812841;ILLUMINA;Paired;500;SRX885373;341454860;170	SAL_CA7825AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269515	SRS901603	2015-08-27	2015-04-10	Assembled	69	252702	4981337	Salmonella enterica;100.0%	74	2801	2.2	SAL_JA5056AA_AS
SAL_CA7834AA	FL-NRM256	SRR1812831;ILLUMINA;Paired;500;SRX885363;313325320;220	SAL_CA7834AA	Poultry	Avian	chicken breast	2006				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269517	SRS901604	2015-08-27	2015-04-10	Assembled	63	161715	4986239	Salmonella enterica;100.0%	90	6978	2.2	SAL_JA5057AA_AS
SAL_CA7973AA	NY-N145	SRR1805653;ILLUMINA;Paired;500;SRX878615;576583876;242	SAL_CA7973AA	Poultry	Avian	Chicken Breast	2004				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN02777826	SRS846518	2015-08-27	2015-02-17	Assembled	114.14	214188	5051384	Salmonella enterica;98.53%	73	5899	2.2	SAL_BA6120AA_AS
SAL_CA8031AA	NY-N143	SRR1805574;ILLUMINA;Paired;500;SRX878535;385577096;244	SAL_CA8031AA	Poultry	Avian	Chicken Breast	2004				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN02777824	SRS846432	2015-08-27	2015-02-17	Assembled	78	394010	4985699	Salmonella enterica;100.0%	56	5400	2.2	SAL_JA5060AA_AS
SAL_CA8248AA	NY-N18	SRR1793244;ILLUMINA;Paired;500;SRX868707;290645132;197	SAL_CA8248AA	Poultry	Avian	Chicken Breast	2004				North America	United States	California						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN02777806	SRS839552	2015-08-27	2015-02-07	Assembled	58	219541	5025236	Salmonella enterica;98.92%	94	9769	2.2	SAL_JA7075AA_AS
SAL_CA8331AA	FL-NRM187	SRR1783213;ILLUMINA;Paired;500;SRX862247;393233280;215	SAL_CA8331AA	Poultry	Avian	chicken breast	2005				North America	United States	Georgia						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269522	SRS901605	2015-08-27	2015-04-10	Assembled	79	138019	4979368	Salmonella enterica;100.0%	109	8031	2.2	SAL_JA5063AA_AS
SAL_CA8398AA	NY-32504	SRR1778038;ILLUMINA;Paired;500;SRX857667;290943576;187	SAL_CA8398AA	Poultry	Avian	Chicken Breast	2003				North America	United States	Georgia						Typhimurium var. O5 - (Copenhagen)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183850	SRP028607	SAMN02777754	SRS829605	2015-08-27	2015-01-30	Assembled	55.89	108793	5206060	Salmonella enterica;75.64%	314	22499	2.2	SAL_BA5550AA_AS
SAL_CA8553AA	FL-NRM155	SRR1773634;ILLUMINA;Paired;500;SRX853470;439063788;186	SAL_CA8553AA	Poultry	Avian	chicken breast	2005				North America	United States	Connecticut						Typhimurium	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183848	SRP028812	SAMN03269514	SRS901606	2015-08-27	2015-04-10	Assembled	87	123404	5091368	Salmonella enterica;98.15%	119	5713	2.2	SAL_JA5067AA_AS
